time,ax,ay,az,aT,label
4.435,0.216,0.1798,-1.8906,1.911,1
4.445,-0.2327,0.4078,-1.9842,2.039,1
4.455,-0.5862,0.5436,-1.5464,1.7409999999999999,1
4.465,-0.7745,0.5286,-0.8652,1.276,1
4.48,-1.0197,0.3678,-0.4411,1.17,1
4.485,-1.0224,0.1008,-0.3993,1.102,1
4.513,-0.7086,-0.2686,0.1724,0.777,1
4.515,-0.0195,-0.5344,0.3936,0.664,1
4.516,0.445,-0.3837,0.0547,0.59,1
4.524,0.543,-0.1666,-0.0989,0.5770000000000001,1
4.534,0.7117,-0.0604,-0.2011,0.742,1
4.545,0.8575,-0.0708,-0.3417,0.9259999999999999,1
4.554,0.7548,0.0507,-0.8339,1.126,1
4.564,0.4404,0.1449,-1.1108,1.204,1
4.579,0.071,0.2349,-1.3003,1.3230000000000002,1
4.584,-0.1251,0.25,-1.2859,1.3159999999999998,1
4.604,-0.2076,0.1966,-1.3254,1.3559999999999999,1
4.605,-0.2846,0.0358,-1.095,1.1320000000000001,1
4.615,-0.4704,-0.22,-0.6293,0.816,1
4.626,-0.5484,-0.3684,-0.4245,0.785,1
4.634,-0.4944,-0.3082,-0.5465,0.799,1
4.645,-0.4354,-0.148,-0.5952,0.752,1
4.654,-0.492,-0.1148,-0.4437,0.672,1
4.664,-0.5497,-0.0867,-0.4061,0.6890000000000001,1
4.679,-0.578,-0.1916,-0.182,0.636,1
4.685,-0.5718,-0.3341,-0.0238,0.6629999999999999,1
4.709,-0.5451,-0.482,-0.0492,0.7290000000000001,1
4.71,-0.4474,-0.5541,0.1649,0.731,1
4.715,-0.2836,-0.6137,0.3781,0.775,1
4.726,-0.0722,-0.5782,0.3224,0.6659999999999999,1
4.734,-0.3391,-0.3728,0.4026,0.645,1
4.744,0.1762,-0.6615,1.3082,1.476,1
4.754,0.5651,-0.9503,1.5046,1.867,1
4.764,0.4308,-0.9182,1.4897,1.8019999999999998,1
4.779,0.291,-0.8508,1.6698,1.8969999999999998,1
4.784,0.2418,-0.7873,1.4489,1.6669999999999998,1
4.811,0.7029,-0.7088,0.9199,1.357,1
4.813,1.2091,-0.5477,0.519,1.425,1
4.815,1.3448,-0.5477,0.3491,1.493,1
4.826,0.7645,-0.3201,0.9109,1.232,1
4.835,0.8906,-0.4613,0.9973,1.4140000000000001,1
4.845,0.7279,-0.6512,0.9866,1.3880000000000001,1
4.854,0.2523,-0.6558,0.6472,0.955,1
4.865,0.0462,-0.6441,0.5871,0.873,1
4.88,0.2188,-0.6257,0.687,0.955,1
4.884,0.4689,-0.5372,0.5673,0.9109999999999999,1
4.917,0.4823,-0.4048,0.5473,0.8340000000000001,1
4.919,0.3649,-0.2315,0.0476,0.435,1
4.919,0.1693,-0.167,0.1039,0.26,1
4.928,-0.1908,0.0727,-0.2336,0.31,1
4.934,-0.4368,0.1204,-0.3127,0.551,1
4.945,-0.536,0.1449,-1.1537,1.28,1
4.954,-0.8364,0.2312,-1.5286,1.758,1
4.965,-1.1129,0.2607,-1.2803,1.716,1
4.981,-1.145,0.2847,-1.0342,1.569,1
4.984,-0.848,0.1492,-0.8682,1.2229999999999999,1
5.012,-0.7324,-0.1149,-0.6855,1.01,1
5.013,-0.4177,-0.4834,-0.05,0.6409999999999999,1
5.015,0.114,-0.9144,1.0364,1.3869999999999998,1
